  0/39369 unsat=1 cake=1
  500/39369 unsat=501 cake=501
  1000/39369 unsat=1001 cake=1001
  1500/39369 unsat=1501 cake=1501
  2000/39369 unsat=2001 cake=2001
  2500/39369 unsat=2501 cake=2501
  3000/39369 unsat=3001 cake=3001
  3500/39369 unsat=3501 cake=3501
  4000/39369 unsat=4001 cake=4001
  4500/39369 unsat=4501 cake=4501
  5000/39369 unsat=5001 cake=5001
  5500/39369 unsat=5501 cake=5501
  6000/39369 unsat=6001 cake=6001
  6500/39369 unsat=6501 cake=6501
  7000/39369 unsat=7001 cake=7001
  7500/39369 unsat=7501 cake=7501
  8000/39369 unsat=8001 cake=8001
  8500/39369 unsat=8501 cake=8501
  9000/39369 unsat=9001 cake=9001
  9500/39369 unsat=9501 cake=9501
  10000/39369 unsat=10001 cake=10001
  10500/39369 unsat=10501 cake=10501
  11000/39369 unsat=11001 cake=11001
  11500/39369 unsat=11501 cake=11501
  12000/39369 unsat=12001 cake=12001
  12500/39369 unsat=12501 cake=12501
  13000/39369 unsat=13001 cake=13001
  13500/39369 unsat=13501 cake=13501
  14000/39369 unsat=14001 cake=14001
  14500/39369 unsat=14501 cake=14501
  15000/39369 unsat=15001 cake=15001
  15500/39369 unsat=15501 cake=15501
  16000/39369 unsat=16001 cake=16001
  16500/39369 unsat=16501 cake=16501
  17000/39369 unsat=17001 cake=17001
  17500/39369 unsat=17501 cake=17501
  18000/39369 unsat=18001 cake=18001
  18500/39369 unsat=18501 cake=18501
  19000/39369 unsat=19001 cake=19001
  19500/39369 unsat=19501 cake=19501
  20000/39369 unsat=20001 cake=20001
  20500/39369 unsat=20501 cake=20501
  21000/39369 unsat=21001 cake=21001
  21500/39369 unsat=21501 cake=21501
  22000/39369 unsat=22001 cake=22001
  22500/39369 unsat=22501 cake=22501
  23000/39369 unsat=23001 cake=23001
  23500/39369 unsat=23501 cake=23501
  24000/39369 unsat=24001 cake=24001
  24500/39369 unsat=24501 cake=24501
  25000/39369 unsat=25001 cake=25001
  25500/39369 unsat=25501 cake=25501
  26000/39369 unsat=26001 cake=26001
  26500/39369 unsat=26501 cake=26501
  27000/39369 unsat=27001 cake=27001
  27500/39369 unsat=27501 cake=27501
  28000/39369 unsat=28001 cake=28001
  28500/39369 unsat=28501 cake=28501
  29000/39369 unsat=29001 cake=29001
  29500/39369 unsat=29501 cake=29501
  30000/39369 unsat=30001 cake=30001
  30500/39369 unsat=30501 cake=30501
  31000/39369 unsat=31001 cake=31001
  31500/39369 unsat=31501 cake=31501
  32000/39369 unsat=32001 cake=32001
  32500/39369 unsat=32501 cake=32501
  33000/39369 unsat=33001 cake=33001
  33500/39369 unsat=33501 cake=33501
  34000/39369 unsat=34001 cake=34001
  34500/39369 unsat=34501 cake=34501
  35000/39369 unsat=35001 cake=35001
  35500/39369 unsat=35501 cake=35501
  36000/39369 unsat=36001 cake=36001
  36500/39369 unsat=36501 cake=36501
  37000/39369 unsat=37001 cake=37001
  37500/39369 unsat=37501 cake=37501
  38000/39369 unsat=38001 cake=38001
  38500/39369 unsat=38501 cake=38501
  39000/39369 unsat=39001 cake=39001
NC-CAKE SUMMARY clauses=39369 UNSAT=39369 cake_VERIFIED=39369 bad=0 first_bad=[] secs=1093
